"Position","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","Fall.2013","NA..6","NA..7","NA..8","NA..9","NA..10","Spring1","NA..11","Spring2","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19"
"C","1","64.8","-0.3","control","22","22","1","2","1","5",NA,NA,"1",NA,"41780","1","4","3","5","2.5",NA,NA,NA
"C","1","64.8","-1.3","remove","23","23","1","2","1","4",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,NA,NA
"C","1","67.9","-1.6","control","25","25","1","2","2","5",NA,NA,"1",NA,"41780","1","4","3","6","2.2",NA,NA,NA
"C","1","69.5","0.3","control","26","26","1","1","1","8",NA,NA,"1","resprouting","41780","1","1","1","3","2",NA,"resprouting",NA
"C","1","70.6","-0.4","remove","27","27","1","7","4","9",NA,NA,"0","dry gray","41780","3",NA,NA,NA,NA,NA,"resprouting from base",NA
"C","1","75","0.2","remove","29","29","1","5","3","5",NA,NA,"1",NA,"41780","1","9","9","8","3.7",NA,NA,NA
"C","1","77.5","1.4","remove","30","30","1","3","2","6",NA,NA,"1",NA,"41780","1","5","5","7","2.4",NA,NA,NA
"C","1","83.5","0.3","control","31","31","1","2","1","4",NA,NA,"1",NA,"41780","1","4","3","5","2.2",NA,NA,NA
"C","1","59.4","2.5","remove","32","32","1","3","2","8",NA,NA,"0","dry gray","41780","3",NA,NA,NA,NA,NA,"dry gray",NA
"C","1","52.5","-2.3","control","33","33","1","4","3","7",NA,NA,"1",NA,"41780","1","5","3","6","3",NA,NA,NA
"C","2","7.9","-1.6","control","34","34","1","72","57","51",NA,NA,"1",NA,"41780","1","67","45","46",NA,"10",NA,NA
"C","2","6","2.4","control","35","35","1","45","35","23",NA,NA,"1",NA,"41780","1","44","33","27",NA,"9",NA,NA
"C","2","11.5","0.4","control","36","36","1","25","17","59",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"C","2","13.1","-0.1","control","37","37","1","12","7","26",NA,NA,"1",NA,"41780","1","17","11","24",NA,"1",NA,NA
"C","2","17","-2.4","control","38","38","1","105","91","64",NA,NA,"1",NA,"41780","1","105","72","63",NA,"33",NA,NA
"C","2","18.5","0.1","control","39","39","1","35","23","30",NA,NA,"1",NA,"41780","1","36","36","28",NA,"6",NA,NA
"C","2","23.2","-0.3","control","40","40","1","20","8","20",NA,NA,"3","dry gray","41780","1","2","2","10",NA,"1","almost dead",NA
"C","2","25.1","-2.1","remove","41","41","1","35","18","30",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"C","2","28.4","0.4","control","42","42","1","83","65","49",NA,NA,"1","switched trtment","41780","1","87","47","46",NA,"19",NA,NA
"C","2","32.6","1.1","remove","43","43","1","125","90","81",NA,NA,"1",NA,"41780","1","88","94","83",NA,"48","two dead caterpillars on plant",NA
"C","2","36.6","0.05","remove","44","44","1","15","7","11",NA,"old with black fungus on stems","1",NA,"41780","1","15","12","15",NA,"1","resprouting ",NA
"C","2","37.8","-1.8","control","45","45","1","14","19","29",NA,NA,"0","dry gray lvs falling off","41780","0",NA,NA,NA,NA,NA,"dry, left tag",NA
"C","2","38.8","0.7","control","46","46","1","85","81","59",NA,NA,"1","broken branch","41780","1","95","69","60",NA,"30",NA,NA
"C","2","42.8","0.6","remove","47","47","1","57","57","42",NA,NA,"1",NA,"41780","1","54","42","43",NA,"14",NA,NA
"C","2","47.2","0.25","control","48","48","1","5","6","11",NA,NA,"1","removal effective","41780","1","9","7","10",NA,"1",NA,NA
"C","2","48.2","-1.7","remove","49","49","1","27","25","37",NA,NA,"1",NA,"41780","1","28","19","40",NA,"3",NA,NA
"C","2","51.1","-0.9","remove","50","50","1","93","78","77",NA,NA,"1",NA,"41780","1","89","79","78",NA,"27",NA,NA
"C","2","54.5","1.9","remove","51","51","1","48","27","46",NA,NA,"1",NA,"41780","1","45","35","38",NA,"8",NA,NA
"C","2","59.9","0.25","remove","52","52","1","5","8","9",NA,NA,"1",NA,"41780","1","13","11","12",NA,"1",NA,NA
"C","2","62.5","-1","remove","53","53","1","18","12","32",NA,NA,"1",NA,"41780","1","18","16","37",NA,"2",NA,NA
"C","2","65.8","-0.6","removal","54","54","1","84","50","45",NA,NA,"1","switched trtment","41780","1","78","28","45",NA,"9",NA,NA
"C","2","68","2.3","remove","55","55","1","141","95","60",NA,NA,"1",NA,"41780","1","139","105","58",NA,"61",NA,NA
"C","2","71.6","0.5","remove","56","56","1","41","37","35",NA,NA,"1",NA,"41780","1","32","45","36",NA,"11",NA,NA
"C","2","73.7","-1.4","control","57","57","1","15","11","30",NA,NA,"1",NA,"41780","1","14","18","33",NA,"1",NA,NA
"C","2","78.2","2.45","remove","58","58","1","76","64","60",NA,NA,"1",NA,"41780","1","84","45","54",NA,"16",NA,NA
"C","2","78.2","-1.1","control","59","59","1","73","50","46",NA,NA,"1",NA,"41780","1","74","57","49",NA,"15",NA,NA
"C","2","81.9","1.1","remove","60","60","1","18","15","42",NA,NA,"0","trampled broken at base","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"C","2","84.2","-1.6","remove","61","61","1","25","26","37",NA,NA,"1","broken on side","41780","1","31","14","39",NA,"3",NA,NA
"C","2","88.6","4.2","control","62","62","1","76","25","51",NA,NA,"1","half dead","41780","1","35","22","58",NA,"3","half dead",NA
"C","2","90.4","0.4","remove","63","63","1","57","24","27",NA,NA,"1",NA,"41780","1","69","23","30",NA,"8",NA,NA
"C","2","94.8","0.25","control","64","64","1","9","8","17",NA,NA,"1",NA,"41780","1","5","4","8",NA,"1",NA,NA
"C","2","97.3","-0.3","control","65","65","1","46","37","43",NA,NA,"1",NA,"41780","1","34","35","42",NA,"5",NA,NA
"G","4","3.8","0.4","remove","66","66","1","5","2","4",NA,"chewed on","0","dry no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"G","4","4.9","0.8","control","67","67","1","2","1","7",NA,NA,"1",NA,"41781","1","3","1","7","1.4",NA,NA,NA
"G","4","5.7","0.1","remove","68","68","1","2","2","5",NA,NA,"0","dry no lvs","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"G","4","45.6","-0.9","control","70","70","1","7","6","7",NA,NA,"1",NA,"41781","1","9","7","7","5.1",NA,NA,NA
"G","4","63.3","-0.7","remove","75","75","1","5","4","10",NA,NA,"1",NA,"41781","1","4","3","11","2.8",NA,NA,NA
"G","4","76.7","0.1","control","78","78","1","4","3","5",NA,NA,"1",NA,"41781","1","6","4","5","2.8",NA,NA,NA
"G","4","84.3","-0.8","remove","79","79","1","5","4","7",NA,NA,"1",NA,"41781","1","7","6","8","4.1",NA,NA,NA
"G","4","99.7","-0.4","remove","80","80","1","2","3","5",NA,NA,"0","dry no lvs","41781","0",NA,NA,NA,NA,NA,NA,NA
"G","4","99.4","1.2","remove","81","81","1","5","4","7",NA,NA,"1",NA,"41781","1","6","4",NA,"3",NA,"missing height in spring 2014",NA
"B","3","6","0.15","remove","82","82","1","9","9","10",NA,NA,"1","tips wilting","41779","1","15","14","14",NA,"1",NA,NA
"B","3","11.6","-2.4","control","83","83","1","43","32","42",NA,NA,"1",NA,"41779","1","40","29","36",NA,"5",NA,NA
"B","3","17.9","-0.4","control","84","84","1","10","6","10",NA,NA,"1",NA,"41779","1","11","7","10",NA,"1","separate plant just to the N",NA
"B","3","23","0","control","85","85","1","115","110","57",NA,NA,"1","23 m x 0 m ","41779","1","116","110","57",NA,"66",NA,NA
"B","3","29.5","0.1","control","86","86","1","8","7","11",NA,NA,"1",NA,"41779","1","10","7","13",NA,"1",NA,NA
"B","3","35.8","-0.3","control","87","87","1","79","90","40",NA,NA,"1",NA,"41779","1","82","89","40",NA,"46",NA,NA
"B","3","41.2","0.9","control","88","88","1","23","19","23",NA,NA,"1",NA,"41779","1","22","12","25",NA,"2",NA,NA
"B","3","48.3","-0.3","control","89","89","1","47","35","40",NA,"many sterile infls.","1","branch dying back ","41779","1","37","23","37",NA,"4",NA,NA
"B","3","53.1","0.7","remove","90","90","1","23","21","25",NA,NA,"1",NA,"41779","1","26","25","26",NA,"3",NA,NA
"B","3","59.6","-0.4","remove","91","91","1","120","78","46",NA,NA,"1","some dead branches","41779","1","120","73","43",NA,"45","some dead branches",NA
"B","3","66.4","0.3","remove","92","92","1","18","16","36",NA,NA,"1",NA,"41779","1","20","17","37",NA,"3",NA,NA
"B","3","70.9","0","remove","93","93","1","59","50","46",NA,NA,"1",NA,"41779","1","57","56","44",NA,"15",NA,NA
"B","3","78.4","-0.1","remove","94","94","1","22","17","26",NA,"six galls","1",NA,"41779","1","31","20","28",NA,"3",NA,NA
"B","3","84.6","0.9","remove","95","95","1","73","87","44",NA,NA,"1",NA,"41779","1","80","89","48",NA,"30",NA,NA
"B","3","90","-0.1","control","96","96","1","25","27","41",NA,NA,"1",NA,"41779","1","30","25","40",NA,"4",NA,NA
"B","3","96.5","0.3","remove","97","97","1","53","26","37",NA,NA,"1",NA,"41779","1","51","31","35",NA,"7",NA,NA
"B","2","4.7","-0.9","remove","98","98","1","2","1","6",NA,NA,"0","no lvs.","41778","0",NA,NA,NA,NA,NA,NA,NA
"B","2","3.8","0.8","control","99","99","1","3","2","3",NA,NA,"1",NA,"41778","1","4","5","4","2.2",NA,NA,NA
"B","2","8.7","-0.3","control","101","101","1","2","2","2",NA,NA,"1",NA,"41778","1","3","2","2","2.5",NA,NA,NA
"B","2","12.2","0.3","control","102","102","1","6","3","7",NA,NA,"1","growing from base","41778","1","2","4","4","2.5",NA,"resprouting ",NA
"B","2","13.4","-0.5","remove","103","103","1","3","2","6",NA,NA,"1",NA,"41778","1","5","3","8","2.9",NA,NA,NA
"B","2","16.2","0.4","remove","104","104","1","3","3","6",NA,NA,"1",NA,"41778","1","6","5","7","2.1",NA,NA,NA
"B","2","17.1","-1","control","105","105","1","2","1","7",NA,NA,"1",NA,"41778","1","4","4","10","2.1",NA,NA,NA
"B","2","59.1","-0.2","remove","106","106","1","2","1","3",NA,NA,"0","no lvs","41778","0",NA,NA,NA,NA,NA,NA,NA
"B","2","61.5","0.3","control","108","108","1","3","3","7",NA,NA,"1",NA,"41778","1","4","3","7","1.7",NA,NA,NA
"B","2","83.6","0.4","control","110","110","1","7","6","8",NA,NA,"1",NA,"41778","1","8","6","7","3.5",NA,NA,NA
"B","2","85","0.4","remove","111","111","1","5","4","9",NA,NA,"1","big gall","41778","1","6","6","10","3.4",NA,NA,NA
"B","2","86.3","0.1","remove","112","112","1","3","3","5",NA,NA,"1",NA,"41778","1","4","4","5","2.5",NA,NA,NA
"B","2","91","0.5","control","113","113","1","5","3","6",NA,NA,"1",NA,"41778","1","5","5","6","2.9",NA,NA,NA
"A","2","5","-0.2","remove","116","116","1","4","3","3",NA,NA,"1",NA,"41779","1","5","4","5","3",NA,NA,NA
"A","2","24.4","-1.1","control","118","118","1","2","2","3",NA,NA,"1",NA,"41779","1","4","2","3","1.4",NA,NA,NA
"A","2","35.2","1.8","control","119","119","1","3","2","5",NA,NA,"1",NA,"41779","1","4","3","5","1.8",NA,NA,NA
"A","2","49.5","-1.7","remove","120","120","1","5","3","8",NA,NA,"1",NA,"41779","1","9","8","10","3",NA,NA,NA
"A","2","53","0.4","control","121","121","1","2","1","3",NA,NA,"1",NA,"41779","1","1","3","4","1.1",NA,NA,NA
"A","2","51.9","0.6","remove","122","122","1","5","5","6",NA,NA,"1",NA,"41779","1","6","6","7","3",NA,NA,NA
"A","2","56.4","2.5","control","123","123","1","2","2","4",NA,NA,"1",NA,"41779","1","3","2","5","1.4",NA,NA,NA
"A","2","60.8","-2","remove","124","124","1","3","3","6",NA,NA,"1",NA,"41779","1","4","5","8","2.1",NA,NA,NA
"A","2","61.6","-0.8","control","125","125","1","2","1","4",NA,NA,"1",NA,"41779","1","2","2","3","2",NA,NA,NA
"A","2","64.1","-0.6","control","126","126","1","5","4","5",NA,NA,"1",NA,"41779","1","6","5","6","2.4",NA,NA,NA
"A","2","83.2","-1.5","remove","128","128","1","4","5","7",NA,NA,"1",NA,"41779","1","9","11","10","4",NA,NA,NA
"A","2","86.9","-1.2","remove","129","129","1","3","2","6",NA,NA,"1",NA,"41779","1","6","5","9","2.4",NA,NA,NA
"A","2","88.4","0.1","remove","130","130","1","3","3","8",NA,NA,"1","wilting on the top but resprouting from base","41779","1","5","3","6","3",NA,"dying on one side",NA
"A","2","98.4","-1.5","control","131","131","1","4","3","5",NA,NA,"1",NA,"41779","1","4","4","5","2.4",NA,NA,NA
"A","1","6.2","-0.2","remove","132","132","1","30","15","25",NA,NA,"1",NA,"41779","1","29","16","23",NA,"4",NA,NA
"A","1","12.4","-0.1","remove","133","133","1","50","24","39",NA,NA,"1",NA,"41779","1","46","28","37",NA,"6",NA,NA
"A","1","18.2","-0.1","control","134","134","1","34","18","22",NA,NA,"1",NA,"41779","1","34","16","22",NA,"4",NA,NA
"A","1","23.7","-0.2","remove","135","135","1","60","36","40",NA,NA,"1",NA,"41779","1","71","43","36",NA,"13",NA,NA
"A","1","30.2","0.4","remove","136","136","1","32","21","22",NA,NA,"1",NA,"41779","1","36","24","22",NA,"3",NA,NA
"A","1","35.9","0","control","137","137","1","72","50","41",NA,NA,"1",NA,"41779","1","62","43","40",NA,"11",NA,NA
"A","1","42.1","-0.2","control","138","138","1","26","18","27",NA,NA,"1",NA,"41779","1","36","15","28",NA,"2",NA,NA
"A","1","48.1","-0.3","control","139","139","1","61","48","37",NA,NA,"1",NA,"41779","1","55","47","37",NA,"12",NA,NA
"A","1","52.9","0.6","control","140","140","1","18","17","16",NA,NA,"1",NA,"41779","1","18","21","19",NA,"1",NA,NA
"A","1","60.4","-0.1","control","141","141","1","47","41","25",NA,NA,"1",NA,"41779","1","57","36","26",NA,"8",NA,NA
"A","1","66.1","0.1","remove","142","142","1","34","25","25",NA,NA,"1",NA,"41779","1","37","28","24",NA,"7",NA,NA
"A","1","72.1","-0.3","control","143","143","1","79","67","33",NA,NA,"1",NA,"41779","1","83","69","35",NA,"31",NA,NA
"A","1","78","0.3","control","144","144","1","38","27","25",NA,NA,"1",NA,"41779","1","37","34","29",NA,"5",NA,NA
"A","1","83.9","0.2","remove","145","145","1","53","51","36",NA,NA,"1",NA,"41779","1","60","58","40",NA,"18",NA,NA
"A","1","90.3","0.7","remove","146","146","1","25","26","23",NA,NA,"1",NA,"41779","1","36","32","24",NA,"6",NA,NA
"A","1","96.4","0.7","remove","147","147","1","87","62","39",NA,NA,"1",NA,"41779","1","80","61","47",NA,"26",NA,NA
"G","1","6.1","-0.5","remove","148","148","1","77","37","39",NA,NA,"1",NA,"41781","1","64","37","40",NA,"5",NA,NA
"G","1","12.1","-0.3","control","149","149","1","45","30","50",NA,NA,"1",NA,"41781","1","46","28","51",NA,"6",NA,NA
"G","1","18.3","0","control","150","150","1","33","39","44",NA,NA,"1",NA,"41781","1","44","34","39",NA,"8",NA,NA
"G","1","23.6","1.3","control","151","151","1","94","54","75",NA,NA,"1",NA,"41781","1","104","58","71",NA,"21",NA,NA
"G","1","29.3","0.4","remove","152","152","1","40","32","41",NA,"some leaves falling off","1","barely alive","41781","1","46","18","37",NA,"1",NA,NA
"G","1","36.1","0.3","control","153","153","1","65","64","65",NA,NA,"1",NA,"41781","1","68","49","69",NA,"12",NA,NA
"G","1","42.2","0.6","control","154","154","1","25","28","26",NA,NA,"1",NA,"41781","1","32","18","26",NA,"4",NA,NA
"G","1","47.4","-0.4","remove","155","155","1","50","58","50",NA,NA,"1","broken branch","41781","1","59","27","49",NA,"11",NA,NA
"G","1","54.4","0.5","control","156","156","1","31","18","36",NA,NA,"1",NA,"41781","1","28","18","38",NA,"2",NA,NA
"G","1","56.5","0.5","remove","157","157","1","115","35","48",NA,NA,"1",NA,"41781","1","112","37","47",NA,"13",NA,NA
"G","1","66.4","0.2","remove","158","158","1","31","31","36",NA,NA,"1",NA,"41781","1","37","33","39",NA,"6",NA,NA
"G","1","71.8","0","remove","159","159","1","124","86","65",NA,NA,"1",NA,"41781","1","119","103","67",NA,"48",NA,NA
"G","1","77.9","0.6","control","160","160","1","47","32","57",NA,NA,"1",NA,"41781","1","49","32","55",NA,"8",NA,NA
"G","1","83.3","0.3","removal","161","161","1","68","43","65",NA,NA,"1","switched trtment","41781","1","79","45","64",NA,"21","few ants on plant ",NA
"G","1","90.2","0.6","remove","162","162","1","27","30","43",NA,NA,"1",NA,"41781","1","32","34","48",NA,"6","lots of ants",NA
"G","1","95.4","0.1","remove","163","163","1","81","42","60",NA,"aphids and ants","1","ants on plant","41781","1","84","55","62",NA,"19",NA,NA
"I","3","6","0.6","control","164","164","1","30","28","30",NA,NA,"1",NA,"41779","1","32","33","32",NA,"5",NA,NA
"I","3","12.3","-0.2","remove","165","165","1","67","47","47",NA,NA,"1",NA,"41779","1","68","39","47",NA,"16",NA,NA
"I","3","16.6","-1.1","remove","166","166","1","30","16","33",NA,NA,"1",NA,"41779","1","35","24","33",NA,"6",NA,NA
"I","3","24","-0.4","remove","167","167","1","41","34","38",NA,NA,"1",NA,"41779","1","47","37","39",NA,"9",NA,NA
"I","3","30.3","0.9","control","168","168","1","6","5","10",NA,NA,"1",NA,"41779","1","9","7","9",NA,"1","resprouting growing from base",NA
"I","3","35.8","0.1","remove","169","169","1","47","44","47",NA,NA,"1",NA,"41779","1","52","51","45",NA,"10",NA,NA
"I","3","41.6","0.4","remove","170","170","1","28","32","34",NA,NA,"1",NA,"41779","1","38","28","35",NA,"7",NA,NA
"I","3","47.9","0.5","control","171","171","1","65","60","45",NA,NA,"1",NA,"41779","1","71","63","49",NA,"21",NA,NA
"I","3","53.3","1.3","remove","172","172","1","15","6","45",NA,NA,"1",NA,"41779","1","13","6","15",NA,"1","resprouting from base ",NA
"I","3","60","-0.2","control","173","173","1","36","32","54",NA,NA,"1",NA,"41779","1","44","24","51",NA,"6",NA,NA
"I","3","65.1","-1.8","remove","174","174","1","8","4","14",NA,NA,"1",NA,"41779","1","5","5","15",NA,"1",NA,NA
"I","3","71.6","0.6","control","175","175","1","68","46","53",NA,NA,"1",NA,"41779","1","67","39","49",NA,"22",NA,NA
"I","3","79.2","-0.1","control","176","176","1","20","14","35",NA,NA,"1",NA,"41779","1","25","16","37",NA,"2",NA,NA
"I","3","83.9","0.1","control","177","177","1","57","20","46",NA,NA,"1",NA,"41779","1","50","24","49",NA,"7",NA,NA
"I","3","89.5","-0.1","control","178","178","1","20","12","48",NA,NA,"1",NA,"41779","1","35","17","48",NA,"3",NA,NA
"I","3","96.3","0","remove","179","179","1","51","35","39",NA,NA,"1",NA,"41779","1","53","44","39",NA,"11",NA,NA
"I","1","13.6","-1.5","control","180","180","1","7","5","6",NA,NA,"1","frost heave","41779","1","9","8","8","4",NA,NA,NA
"I","1","20.2","-0.7","remove","181","181","1","3","2","5",NA,NA,"1",NA,"41779","1","4","4","7","2.6",NA,NA,NA
"I","1","32.2","0","remove","182","182","1","1","1","6",NA,NA,"1","top died but resprouting from stem","41779","1","1","1","3","1.8",NA,NA,NA
"I","1","34.3","-2","remove","183","183","1","2","2","3",NA,NA,"1",NA,"41779","1","7","4","6","2.5",NA,NA,NA
"I","1","43.8","-0.3","control","184","184","1","5","4","7",NA,NA,"1",NA,"41779","1","6","6","8","3.5",NA,NA,NA
"I","1","46.1","0.4","remove","185","185","1","4","3","6",NA,NA,"1",NA,"41779","1","8","6","9","3.6",NA,NA,NA
"I","1","49","0.9","remove","186","186","1","2","2","8",NA,NA,"1",NA,"41779","1","3","3","7","2.2",NA,NA,NA
"I","1","50.3","-0.6","control","187","187","1","3","2","6",NA,NA,"1",NA,"41779","1","4","2","6","2.2",NA,NA,NA
"I","1","50.7","1.7","control","188","188","1","2","3","6",NA,NA,"1",NA,"41779","1","5","3","8","2.4",NA,NA,NA
"I","1","50.6","0.45","control","189","189","1","1","1","2",NA,NA,"0","no lvs","41779","3",NA,NA,NA,NA,NA,NA,NA
"I","1","52.7","0.5","remove","191","191","1","4","4","6",NA,NA,"1",NA,"41779","1","6","5","8","2.8",NA,NA,NA
"I","1","62.2","0","control","192","192","1","3","3","5",NA,NA,"1",NA,"41779","1","5","4","7","2.5",NA,NA,NA
"I","1","67.4","0.5","remove","193","193","1","3","4","7",NA,NA,"1",NA,"41779","1","6","5","8","2.2",NA,NA,NA
"I","1","72.7","0.4","control","194","194","1","5","4","6",NA,NA,"1",NA,"41779","1","8","6","8","3.3",NA,NA,NA
"H","2","5.9","0.9","control","196","196","1","17","12","30",NA,NA,"1",NA,"41781","1","23","8","28",NA,"1",NA,NA
"H","2","5.7","-1.1","remove","197","197","1","48","45","44",NA,NA,"1","lots of grass","41781","1","62","45","43",NA,"16",NA,NA
"H","2","12","0.4","remove","198","198","1","103","100","49",NA,NA,"1",NA,"41781","1","101","102","47",NA,"43",NA,NA
"H","2","11","-3.3","remove","199","199","1","80","36","52",NA,NA,"1","main branch stomped on","41781","1","44","23","43",NA,"4",NA,NA
"H","2","18.6","0.1","remove","200","200","1","27","27","27",NA,NA,"1",NA,"41781","1","33","29","29",NA,"6",NA,NA
"H","2","18.5","-2.1","remove","201","201","1","16","21","29",NA,NA,"1",NA,"41781","1","23","17","30",NA,"2",NA,NA
"H","2","24.3","0.1","control","202","202","1","50","44","38",NA,NA,"1",NA,"41781","1","48","48","37",NA,"8","under pershia",NA
"H","2","26.3","-1.8","control","203","203","1","66","55","67",NA,NA,"1",NA,"41781","1","60","63","68",NA,"15",NA,NA
"H","2","32.2","0.3","control","204","204","1","15","10","13",NA,NA,"1",NA,"41781","1","18","11","14",NA,"1",NA,NA
"H","2","30.1","-1.1","remove","205","205","1","19","27","36",NA,NA,"1",NA,"41781","1","24","16","35",NA,"3",NA,NA
"H","2","35.5","0.1","remove","206","206","1","44","32","45",NA,NA,"1",NA,"41781","1","38","36","42",NA,"6",NA,NA
"H","2","37.4","-0.4","remove","207","207","1","74","57","53",NA,NA,"1",NA,"41781","1","70","44","51",NA,"15",NA,NA
"H","2","42.4","-0.3","control","208","208","1","22","17","8",NA,NA,"1",NA,"41781","1","26","17","28",NA,"2",NA,NA
"H","2","41.1","0.1","control","209","209","1","28","39","47",NA,NA,"1","dying branches","41781","1","42","22","33",NA,"2",NA,NA
"H","2","47.8","0.2","control","210","210","1","51","45","36",NA,NA,"1",NA,"41781","1","46","42","41",NA,"5",NA,NA
"H","2","48.9","-1.6","control","211","211","1","93","89","102",NA,NA,"1","big broken branch","41781","1","83","41","68",NA,"16",NA,NA
"H","2","53.1","0.6","remove","212","212","1","11","19","31",NA,"losing leaves","0","dry no lvs ","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"H","2","54.2","-0.9","remove","213","213","1","21","19","30",NA,NA,"0","crushed","41781","0",NA,NA,NA,NA,NA,"left tag",NA
"H","2","60.8","-1.1","remove","214","214","1","39","37","36",NA,NA,"1",NA,"41781","1","42","31","37",NA,"8",NA,NA
"H","2","60.2","1.1","remove","215","215","1","110","45","51",NA,NA,"1",NA,"41781","1","104","47","49",NA,"28",NA,NA
"H","2","65","-1.3","control","216","216","1","34","22","27",NA,NA,"1",NA,"41781","1","32","20","27",NA,"4",NA,NA
"H","2","66.4","-0.5","control","217","217","1","42","59","35",NA,NA,"1",NA,"41781","1","57","42","35",NA,"15",NA,NA
"H","2","71.4","1","control","218","218","1","95","52","35",NA,NA,"1",NA,"41781","1","96","59","35",NA,"17",NA,NA
"H","2","71.7","-1.5","control","219","219","1","81","69","71",NA,NA,"1",NA,"41781","1","78","65","68",NA,"32",NA,NA
"H","2","78.1","0","remove","220","220","1","30","27","26",NA,NA,"1","resprouting from base","41781","1","14","21","27",NA,"2",NA,NA
"H","2","77.2","-0.5","control","221","221","1","19","9","22",NA,NA,"0","stomped on","41781","1","10","7","15",NA,"1","one live branch. Too close to plant #220",NA
"H","2","84.1","1.1","control","222","222","1","55","60","40",NA,NA,"1",NA,"41781","1","68","59","46",NA,"17",NA,NA
"H","2","84.8","-0.5","control","223","223","1","60","64","50",NA,NA,"1","not removed","41781","1","61","45","50",NA,"14",NA,NA
"H","2","89.7","-0.1","remove","224","224","1","14","8","24",NA,NA,"1",NA,"41781","1","12","9","24",NA,"1","resprouting",NA
"H","2","90.7","0.5","control","225","225","1","39","10","22",NA,NA,"1",NA,"41781","1","43","11","24",NA,"1","x,y change ",NA
"H","2","96.1","0.2","remove","226","226","1","79","70","39",NA,NA,"1",NA,"41781","1","71","76","36",NA,"18",NA,NA
"H","2","97.2","-2.7","remove","227","227","1","72","50","50",NA,NA,"1","changed trtment","41781","1","68","51","51",NA,"13",NA,NA
"H","1","5.4","0.2","control","228","228","1","6","5","13",NA,NA,"0","dry gray","41780","0",NA,NA,NA,NA,NA,"left tag",NA
"H","1","14.1","0.7","control","230","230","1","4","2","7",NA,NA,"1",NA,"41780","1","4","2","7","2.2",NA,NA,NA
"H","1","22.3","0","remove","231","231","1","1","1","7",NA,NA,"0","no lvs","41780","3",NA,NA,NA,NA,NA,"left tag, changed from 1 to 3, because no leaves or measurement",NA
