"date","site","transect","y","x","species","tag","cl","cw","ch","stem_diam","spring","status","notes","herbivory"
2013-11-15,"I",4,13,0,"ATV",698,2,1,4,1.6,2014-05-14,1,NA,NA
2013-11-15,"I",4,21,0,"ATP",572,3,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"I",4,23,0,"ATV",498,3,2,3,2.3,2014-05-14,1,NA,NA
2013-11-15,"I",4,31,0,"ATP",626,3,1,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,33,0,"ATV",815,3,2,7,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,41,0,"ATP",615,3,1,5,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,43,0,"ATV",576,3,1,5,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,53,0,"ATP",616,2,1,4,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,54,0,"ATV",658,3,3,7,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,61,0,"ATP",504,4,2,6,2.3,2014-05-14,1,NA,NA
2013-11-15,"I",4,63,0,"ATV",461,3,4,7,2.6,2014-05-14,1,NA,NA
2013-11-15,"I",4,71,0,"ATP",622,3,2,6,1.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,73,0,"ATV",523,1,1,3,1,2014-05-14,1,NA,NA
2013-11-15,"I",4,81,0,"ATP",544,1,1,2,0.7,2014-05-14,1,"dead on top",NA
2013-11-15,"I",4,83,0,"ATV",566,4,2,6,2.5,2014-05-14,1,NA,NA
2013-11-15,"I",4,91,0,"ATP",489,4,2,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"I",4,93,0,"ATV",484,1,2,4,1.3,2014-05-14,1,NA,NA
2013-11-15,"A",3,1,0,"ATP",483,3,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"A",3,3,0,"ATV",506,3,2,4,2,2014-05-14,1,NA,NA
2013-11-15,"A",3,11,0,"ATP",660,4,3,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,13,0,"ATV",625,3,2,4,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,21,0,"ATP",837,3,2,5,2,2014-05-14,1,NA,NA
2013-11-15,"A",3,23,0,"ATV",480,2,1,3,1.8,2014-05-14,1,NA,NA
2013-11-15,"A",3,31,0,"ATP",826,1,3,5,2.6,2014-05-14,1,NA,NA
2013-11-15,"A",3,33,0,"ATV",565,1,1,3,1.1,2014-05-14,0,"dry",NA
2013-11-15,"A",3,41,0,"ATP",617,2,1,3,2.1,2014-05-14,1,NA,NA
2013-11-15,"A",3,43,0,"ATV",501,1,3,5,1.8,2014-05-14,1,NA,NA
2013-11-15,"A",3,51,0,"ATP",595,5,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,53,0,"ATV",711,1,1,3,1,2014-05-14,0,"dry",NA
2013-11-15,"A",3,61,0,"ATP",468,5,2,5,2.6,2014-05-14,1,NA,NA
2013-11-15,"A",3,63,0,"ATV",621,4,2,5,2.4,2014-05-14,1,NA,NA
2013-11-15,"A",3,71,0,"ATP",470,3,3,6,2.2,2014-05-14,1,NA,NA
2013-11-15,"A",3,73,0,"ATV",526,3,2,4,1.4,2014-05-14,1,"dry",NA
2013-11-15,"A",3,81,0,"ATP",834,1,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"A",3,83,0,"ATV",836,2,1,3,1.5,2014-05-14,0,"dry",NA
2013-11-15,"A",3,91,0,"ATP",838,3,2,5,1.3,2014-05-14,0,"dry",NA
2013-11-15,"A",3,93,0,"ATV",839,4,2,6,1.7,2014-05-14,1,"dry",NA
2013-11-15,"B",1,1,0,"ATP",842,3,3,5,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,3,0,"ATV",843,2,2,4,1.9,2014-05-13,1,NA,NA
2013-11-15,"B",1,11,0,"ATP",844,3,2,3,2.2,2014-05-13,1,NA,NA
2013-11-15,"B",1,13,0,"ATV",845,3,2,4,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,21,0,"ATP",846,3,3,4,2.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,23,0,"ATV",847,2,2,3,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,31,0,"ATP",848,3,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,33,0,"ATV",849,2,3,5,1.3,2014-05-13,1,NA,NA
2013-11-15,"B",1,41,0,"ATP",850,1,1,4,1,2014-05-13,3,NA,NA
2013-11-15,"B",1,43,0,"ATV",851,2,2,5,2.1,2014-05-13,1,NA,NA
2013-11-15,"B",1,53,0,"ATP",852,3,2,6,2.6,2014-05-13,1,NA,NA
2013-11-15,"B",1,54,0,"ATV",853,2,2,4,2.5,2014-05-13,3,"dry gray",NA
2013-11-15,"B",1,61,0,"ATP",854,2,1,3,0.7,2014-05-13,1,NA,NA
2013-11-15,"B",1,63,0,"ATV",855,4,3,6,2,2014-05-13,1,NA,NA
2013-11-15,"B",1,71,0,"ATP",856,2,1,5,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,73,0,"ATV",857,2,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,81,0,"ATP",858,3,2,5,1.4,2014-05-13,0,"dark crispy dry no lvs",NA
2013-11-15,"B",1,83,0,"ATV",859,2,2,3,1,2014-05-13,1,NA,NA
2013-11-15,"B",1,91,0,"ATP",860,3,2,5,1.8,2014-05-13,1,NA,NA
2013-11-15,"B",1,93,0,"ATV",861,2,1,3,1.6,2014-05-13,1,NA,NA
2013-11-15,"K",3,1,0,"ATP",862,2,2,8,1.8,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,3,0,"ATV",863,4,3,6,2.5,2014-05-14,1,NA,NA
2013-11-15,"K",3,11,0,"ATP",864,1,3,9,0.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,13,0,"ATV",865,3,2,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,21,0,"ATP",866,2,2,5,2.5,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,23,0,"ATV",867,2,3,5,1.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,31,0,"ATP",868,3,2,4,2,2014-05-14,1,NA,NA
2013-11-15,"K",3,33,0,"ATV",871,2,4,1,1.5,2014-05-14,1,NA,NA
2013-11-15,"K",3,41,0,"ATP",872,3,2,4,2.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,43,0,"ATV",873,2,4,1,1,2014-05-14,1,NA,NA
2013-11-15,"K",3,53,0,"ATP",874,2,1,3,0.7,2014-05-14,1,NA,NA
2013-11-15,"K",3,54,0,"ATV",875,3,3,5,2.9,2014-05-14,1,NA,NA
2013-11-15,"K",3,61,0,"ATP",876,3,4,4,2.1,2014-05-14,1,NA,NA
2013-11-15,"K",3,63,0,"ATV",877,1,2,4,1.6,2014-05-14,1,NA,NA
2013-11-15,"K",3,71,0,"ATP",878,1,2,4,1,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,73,0,"ATV",879,4,2,5,1.7,2014-05-14,1,NA,NA
2013-11-15,"K",3,81,0,"ATP",880,2,1,4,1.5,2014-05-14,0,"dry gray",NA
2013-11-15,"K",3,83,0,"ATV",881,3,4,6,2,2014-05-14,1,NA,NA
2013-11-15,"K",3,91,0,"ATP",882,4,1,3,3.2,2014-05-14,1,NA,NA
2013-11-15,"K",3,93,0,"ATV",883,1,2,2,1.5,2014-05-14,1,"healthy! ",NA
