date,site,species,class,id,cw,cl,ch,canopy.area,stem1,stem2,notes
6/10/15,transplant_site,ATP,1,6,5,4,5,,3.3,3.2,
6/10/15,transplant_site,ATP,1,7,10,10,8,,4.7,4.3,
6/10/15,transplant_site,ATP,1,8,4,3,6,,2.5,2.4,
6/10/15,transplant_site,ATP,1,9,4,7,5,,1.4,1.5,
6/10/15,transplant_site,ATP,1,10,11,7,7,,4.5,5.2,
6/10/15,transplant_site,ATP,1,11,6,6,7,,2.7,2.5,
6/10/15,transplant_site,ATP,1,12,4,3,3,,1.9,2,
6/10/15,transplant_site,ATP,1,13,4,4,7,,2.5,2,
6/10/15,transplant_site,ATP,1,14,10,8,9,,4.3,4,
6/10/15,transplant_site,ATP,1,15,5,3,5,,1.9,2,
6/10/15,transplant_site,ATP,1,16,10,10,10,,4.6,5,
6/10/15,transplant_site,ATP,1,17,4,3,4,,1.8,1.9,
6/10/15,transplant_site,ATP,1,18,4,4,8,,2.9,2.8,
6/10/15,transplant_site,ATP,1,19,5,4,8,,2.2,2.2,
6/10/15,transplant_site,ATP,1,20,10,10,10,,4.9,5.5,
6/10/15,transplant_site,ATP,1,21,4,3,6,,1.3,1.3,
6/10/15,transplant_site,ATP,1,22,10,8,10,,4,4.5,
6/10/15,transplant_site,ATP,1,23,7,4,7,,2.9,2.5,
6/10/15,transplant_site,ATP,1,24,4,3,4,,1.7,1.9,
6/10/15,transplant_site,ATP,1,25,6,4,6,,1.6,1.9,
6/10/15,transplant_site,ATP,1,26,4,3,5,,1.4,1.4,
6/10/15,transplant_site,ATP,1,27,12,11,10,,5.5,5.4,
6/10/15,transplant_site,ATP,1,28,8,13,13,,4.9,4.9,
6/10/15,transplant_site,ATP,1,29,5,4,5,,2.3,2.1,
6/10/15,transplant_site,ATP,1,30,10,8,10,,5,5,
6/10/15,transplant_site,ATP,1,31,6,6,9,,2.8,2.9,
6/10/15,transplant_site,ATP,1,32,15,10,11,,6.4,6.4,
6/10/15,C,ATP,3,33,87,92,54,41,28.1,37,
6/10/15,C,ATP,3,34,77,60,42,25,23,21.5,
6/10/15,C,ATP,3,35,52,34,43,9,8.6,10,
6/10/15,C,ATP,3,36,62,47,39,14,5.5,5.5,
6/10/15,C,ATP,3,37,82,52,44,9,16.8,17.7,
6/10/15,C,ATP,3,38,63,58,46,10,19.5,28.5,
6/10/15,C,ATP,3,39,97,91,51,40,36.5,29.5,
6/10/15,C,ATP,3,40,88,80,40,32,16.1,19.2,
6/10/15,C,ATP,3,41,69,50,45,9,19,34,
6/10/15,C,ATP,3,42,120,69,54,48,21.5,20.5,
6/10/15,C,ATP,3,43,101,55,54,20,29.4,25.2,
6/10/15,C,ATP,3,44,53,63,45,10,30.5,20,
6/10/15,C,ATP,3,45,73,39,43,9,33.5,28.9,
6/10/15,C,ATP,3,46,74,56,47,9,16.4,16.6,
6/10/15,C,ATP,3,47,92,61,51,18,21.3,22.7,
6/10/15,C,ATP,2,61,9,8,16,1,3.9,3.9,
6/10/15,C,ATP,2,60,26,16,17,2,9.6,11,
6/10/15,C,ATP,2,57,26,13,29,2,9,10.2,
6/10/15,C,ATP,2,54,22,9,29,2,48.7,39.1,
6/10/15,C,ATP,2,49,24,15,19,2,7.6,6.9,
6/10/15,C,ATP,2,51,16,24,29,2,7.5,8.5,
6/10/15,C,ATP,2,48,28,20,24,3,10.2,9.6,
6/10/15,C,ATP,2,57,22,13,28,2,9.8,11,
6/10/15,C,ATP,2,59,20,18,24,2,15.9,19.4,
6/10/15,C,ATP,2,62,40,29,42,5,25.2,24.7,
6/10/15,C,ATP,2,55,36,22,35,4,8.2,10.4,
6/10/15,C,ATP,2,63,54,27,40,5,26.4,18.2,
6/10/15,C,ATP,2,53,32,50,32,7,16.5,16.7,
6/10/15,C,ATP,2,50,51,41,29,8,21.4,19.5,
6/10/15,C,ATP,2,58,18,13,29,2,33,27.8,
6/10/15,C,ATP,2,62,41,24,44,5,22.8,24.8,
6/10/15,C,ATP,2,52,54,61,40,10,32.4,29.3,
6/10/15,C,ATP,2,56,29,43,48,5,39.8,41.2,
